AgentID,x,y,algorithm,goal_package_point_type
comcha_0,12,12,dijkstra,pp-intermediate
comcha_1,12,12,dijkstra,pp-intermediate
comcha_2,12,12,dijkstra,pp-intermediate
comcha_3,12,12,dijkstra,pp-intermediate
comcha_4,12,12,dijkstra,pp-intermediate
comcha_5,12,12,dijkstra,pp-intermediate
comcha_6,12,12,dijkstra,pp-intermediate
comcha_7,12,12,dijkstra,pp-intermediate
comcha_0,12,7,dijkstra,pp-end
comcha_1,12,17,dijkstra,pp-end
comcha_2,7,12,dijkstra,pp-end
comcha_3,17,12,dijkstra,pp-end
comcha_4,7,7,dijkstra,pp-end
comcha_5,7,17,dijkstra,pp-end
comcha_6,17,7,dijkstra,pp-end
comcha_7,17,17,dijkstra,pp-end
comcha_8,12,7,dijkstra,pp-end
comcha_9,12,17,dijkstra,pp-end
comcha_10,7,12,dijkstra,pp-end
comcha_11,17,12,dijkstra,pp-end
comcha_12,7,7,dijkstra,pp-end
comcha_13,7,17,dijkstra,pp-end
comcha_14,17,7,dijkstra,pp-end
comcha_15,17,17,dijkstra,pp-end
